2000,40,365,3121,4241,13621
2000,40,365,3061,4171,15041
1000,40,365,2160,3280,15340
2000,40,365,3041,4241,15321
2000,50,365,3470,4820,13720
2000,40,365,3201,4141,14141
2000,50,365,1851,3251,17701
2000,40,365,3971,4131,15351
4000,50,365,5750,7450,20250
2000,50,365,1951,3251,17351
2000,40,365,3160,4480,16380
2000,50,365,3090,4190,10790
2000,40,365,3121,5161,13441
2500,50,365,1680,1680,5010
4000,50,365,5500,6900,21000
2000,40,365,3121,4801,15001
4000,50,365,4000,4810,8010
2000,40,365,3401,4201,15381
2000,40,365,3128,4281,15781
9000,125,365,12126,15251,45626
2000,40,365,3560,4760,16200
4000,50,365,6200,8400,21875
1000,50,365,1400,2550,12700
1000,40,365,2240,4560,14520
2000,50,365,3551,4751,19101
4000,50,365,6300,6600,14800
1000,50,365,350,1750,7500
9000,165,365,14501,16846,64001
2000,50,365,5821,6821,15191
2000,40,365,3641,4841,16311
2000,40,365,3041,4231,16361
2000,40,365,3430,4310,16024
1000,50,365,-2870,-2870,1160
2000,40,365,3600,4800,16400
1000,50,365,250,850,5050
2000,40,365,3121,3921,12721
2000,40,365,2920,4200,15400
2000,40,365,3041,3561,9081
1000,40,365,2700,3500,11610
2000,40,365,3401,4401,16141
2000,40,365,3081,4601,15801
2000,40,365,3040,4020,9220
1000,50,365,-300,200,8918
1000,40,365,2120,3520,12010
1000,50,365,-2000,-550,13850
2000,40,365,3051,4081,11971
2000,40,365,4601,4601,15561
2000,40,365,2971,4011,8931
2000,50,365,3400,4800,19400
4000,50,365,5450,6950,21750
2000,40,365,3260,4460,11360
2000,50,365,1651,2901,13451
2000,50,365,3961,4961,16261
2000,40,365,3021,3761,11161
2000,40,365,3201,4561,16381
2000,40,365,3200,4440,11920
2000,40,365,3261,4366,7276
2000,40,365,3131,4331,16178
2000,40,365,3400,4280,13280
2000,40,365,3080,3400,9040
1000,50,365,1050,2150,12000
1000,40,365,2120,3240,10360
1000,40,365,2200,3400,14400
2000,50,365,2250,2350,2480
2000,40,365,3081,4241,15706
4000,50,365,14500,14500,21650
4000,50,365,5400,6950,17570
2000,50,365,3301,4501,14431
2000,50,365,1501,2901,12451
2000,40,365,3681,6081,16241
1000,40,365,2380,3300,14620
2000,40,365,3401,3401,12921
2000,40,365,4901,5101,16191
4000,50,365,6380,7380,17350
2500,50,365,2250,3600,11400
4000,50,365,5350,6800,17400
1000,50,365,800,1850,12650
2000,50,365,3551,4851,19801
2000,50,365,3481,4911,19007
2000,50,365,7050,7150,18300
1000,50,365,400,1250,8450
2000,40,365,4200,4590,14480
4000,50,365,6250,7200,20900
2000,50,365,3650,4950,19150
2000,40,365,4001,5001,16551
1000,50,365,-2450,-2000,1500
4000,50,365,6000,6550,12980
2000,40,365,3401,4281,10861
1000,50,365,100,600,2850
2000,40,365,2941,3621,15241
4000,50,365,5350,6500,14400
2000,50,365,3551,4051,14501
2000,40,365,6681,6681,15491
2000,40,365,3181,4271,13146
1000,50,365,1730,2480,13200
2000,40,365,3401,5056,8996
2000,40,365,3400,4320,13240
4000,50,365,5500,6800,14665
4000,50,365,5500,6790,21600
2000,40,365,3201,3201,9151
2000,40,365,3401,4621,13061
1000,50,365,-2150,-910,7010
2000,40,365,4601,5801,15068
4000,50,365,4900,5650,10100
1000,50,365,1900,4000,18250
2000,40,365,3561,4701,15851
2000,40,365,3181,3801,10118
1000,50,365,2730,3340,17575
2000,40,365,3001,4161,14721
4000,50,365,5100,5650,10700
2000,40,365,2841,3641,12601
1000,40,365,2070,3340,15216
2000,40,365,3441,4361,16441
2000,50,365,6251,7751,20201
2000,40,365,4600,6900,14400
1000,50,365,-1860,-440,12200
1000,50,365,-1450,0,13850
1000,50,365,-350,600,12200
1000,40,365,2100,3600,10000
4000,50,365,5500,6550,16600
4000,50,365,5400,6840,16625
2000,40,365,3701,5201,16151
2000,50,365,4000,6000,14590
2000,40,365,3080,4280,14400
2000,40,365,3121,4201,10451
2500,50,365,2150,2650,14750
2000,50,365,1950,3350,17800
2000,40,365,2960,3760,11480
2000,40,365,3481,4241,9781
2000,40,365,3501,5501,11801
1000,40,365,2160,3260,13740
2000,40,365,3761,4161,10761
1000,40,365,2360,3580,12200
1000,50,365,640,2120,14174
2000,40,365,3201,4331,16311
2000,40,365,3400,4600,16159
2000,50,365,3951,4951,14251
1000,50,365,750,2250,17250
1000,40,365,2120,3320,14870
2000,40,365,3941,3941,8201
2000,40,365,3040,4320,13240
2000,40,365,3440,4640,15820
1000,40,365,2100,3420,15130
2000,40,365,3270,4200,15890
1000,40,365,2320,3520,14936
1000,50,365,750,2750,6900
4000,50,365,5600,7000,21200
2000,50,365,1601,3101,17551
1000,50,365,300,850,6750
4000,50,365,5400,6300,18300
2000,40,365,3440,4580,12460
4000,50,365,5790,6840,13520
9000,125,365,12251,15626,34514
9000,125,365,11751,15451,26876
2000,40,365,2900,4480,10915
4000,50,365,5400,6450,16450
4000,50,365,5500,6900,16150
4000,50,365,4750,6150,13930
4000,50,365,6000,7000,16590
1000,40,365,2105,3260,13125
1000,50,365,800,2000,9350
2000,40,365,3400,4400,15900
4000,50,365,5300,6700,14650
2000,50,365,3150,4450,16995
4000,50,365,5050,5050,6400
2000,40,365,3400,4600,14560
1000,50,365,-2550,-2100,1100
2000,50,365,1500,3850,9050
2000,40,365,2951,3951,12341
2000,50,365,3451,4851,10881
2000,40,365,3280,4400,16290
2000,40,365,3041,4201,8561
2000,50,365,3751,5251,18521
2000,50,365,1581,3041,12277
2000,40,365,3101,4241,14621
2000,50,365,1851,3051,13561
1000,50,365,610,2265,17070
2000,40,365,3401,4781,16421
2500,50,365,2500,4100,16650
2000,50,365,3501,4651,16348
4000,50,365,5330,6750,16922
2000,40,365,2561,3041,7241
2000,50,365,850,1900,10850
2000,50,365,3351,5051,16551
2000,40,365,3290,4330,14524
2000,50,365,1351,2401,7551
2500,50,365,2050,3850,18200
2000,40,365,4651,4651,16451
2000,40,365,3400,4240,16240
4000,50,365,5400,6850,12150
4000,50,365,5500,6800,17230
4000,50,365,7350,9350,20600
2000,40,365,3261,4561,16421
9000,125,365,12501,16001,52751
2000,40,365,3561,5253,16323
4000,50,365,5400,6700,19830
2000,40,365,3520,4320,16000
2000,50,365,3601,5051,19551
4000,50,365,5453,5623,13443
1000,40,365,2080,3640,14920
2000,50,365,3650,5100,14400
2000,40,365,3701,5751,12551
9000,125,365,12270,16070,45745
2000,40,365,3491,3811,7676
2000,40,365,3601,4441,15691
4000,50,365,5230,6510,14520
1000,50,365,1250,2250,13800
1000,50,365,630,1590,14000
1000,50,365,1450,2750,17200
4000,50,365,5300,6800,18900
1000,40,365,3100,3700,12720
